mfo,name
300001,ОПЕРАЦІЙНЕ УПРАВЛІННЯ НБУ. М.КИЇВ
300012,ПАТ "Промінвестбанк"
300023,ПАТ "УКРСОЦБАНК"
300034,ХРЕЩАТИЦЬКЕ ВІДІЛЕННЯ АПБ "УКРАЇНА"
300045,КБ РОЗ.ПРОМ.БУД.МАТ."АК БУДМБАНК".КИЇВ
300056,ПАТ "ЛЕГБАНК"
300067,Ф-Я ЗАКАРП. КБ "ЛІСБАНК" М.КИЇВ
300078,АТ "ГРАДОБАНК" М.КИЇВ
300089,АКБ "ТРАНСБАНК" М. КИЇВ
300090,АКБ "НАРОДНИЙ БАНК"  М.КИЇВ
300108,2-А Ф-Я КИЇВ.АБЕР "ЕКОНОМБАНК".М.КИЇВ
300119,ПАТ "БАНК АЛЬЯНС"
300120,"БАНК ПЕТРОКОММЕРЦ-УКРАЇНА"
300131,АТ"Банк"Фінанси та Кредит"
300142,ПАТ "УКРІНБАНК"
300153,ОПЕРУ УКРЕКСІМБАНКУ У М. КИЄВІ
300164,ПАТ "ОМЕГА БАНК"
300175,ПУАТ "ФІДОБАНК"
300186,ІНВЕСТИЦІЙНЕ ВІДДІЛЕННЯ АБ "ІНКО"
300197,К/Ф ЕКОНОМБАНКА "ЕКОНОМБАНК-КРЕДИТ"
300205,ПАТ "УПБ"
300216,ПАТ КБ "ІНТЕРБАНК"
300227,АКБ "УКР.ФІНАНСОВА ГРУПА"
300249,АТ "БРОКБІЗНЕСБАНК"
300250,КИЇВСЬКА ФПАТ"УКРІНБАНК" М.КИЇВ
300261,КИЇВСЬКЕ РУ АБ "ІНКО"
300272,ПАТ "ЕНЕРГОБАНК"
300283,КИЕВ АКБ "КОНТИНЕНТ"
300294,ПЕРША КИЇВСЬКА ФІЛІЯ АБ "УКРГАЗБАНК"
300302,ЦЕНТРАЛЬНЕ СХОВИЩЕ НБУ
300313,АКБ "ІНТЕРКОНТИНЕНТБАНК"  М.КИЇВ
300324,КОМЕРЦІЙНИЙ БАНК "САНА". М.КИЇВ
300335,АТ "Райффайзен Банк Аваль"
300346,ПАТ "АЛЬФА-БАНК" У М.КИЄВІ
300357,УКР. МІЖБАНКІВСЬКА ВАЛЮТНА БІРЖА. КИЇВ
300368,Ф-Я ЗАКАРПАТСЬКОГО КБ "ЛІСБАНК".КИЇВ
300379,ФІЛІЯ"КІБ"ПАТ"КРЕДІ АГРІКОЛЬ БАНК"КИЇВ
300380,ЦЕНТРАЛЬНА РП  ПІБ. М.КИЇВ
300391,АБ "АНТЕК" М.КИЇВ
300409,СТАРОКИЇВСЬКА Ф-Я АКБ "ПРАВЕКС-БАНК"
300410,ЛІКВІДАТОР БАНКУ "УКРАЇНА"
300421,УКРАЇНСЬКИЙ  КБ "ВІДРОДЖЕННЯ" М.КИЇВ
300432,Ф-Я РІВНЕНСЬКОГО КБ "КНЯЖИЙ". М.КИЇВ
300443,КОМЕРЦІЙНИЙ БАНК "АЛЕКС". М.КИЇВ
300454,ВАЛЮТНЕ ОПЕР. УПР. АК АПБ "УКРАЇНА"
300465,АТ "ОЩАДБАНК"
300476,ДРУГА КИЇВСЬКА ФІЛІЯ АБ "УКРГАЗБАНК"
300487,МІНСЬКА Ф-Я АКБ "ПРАВЕКС-БАНК"
300498,БАНК НАЦІОНАЛЬНІ ІНВЕСТИЦІЇ
300506,"ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК"
300517,КИЇВСЬКИЙ МІСЬКИЙ РЕГІОНАЛЬНИЙ РЦ
300528,АТ "ОТП Банк"
300539,ПАТ "ІНГ Банк Україна"
300540,АБ "БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ" М. КИЇВ
300551,КИЇВСЬКА Ф-Я АКБ "ПРЕМ'ЄРБАНК"
300562,АБ "КРЕДІ СВІСС ФЬОРСТ БОСТОН(УКРАЇНА)
300573,СОЛОМ'ЯНСЬКЕ ВІДДІЛЕННЯ АБ "ІНКО"
300584,ПАТ "СІТІБАНК"
300595,МОСКОВСЬКА Ф-Я АКБ "ПРАВЕКС-БАНК"
300603,ЛІКВІДАТОР ГОУ БАНКУ "УКРАЇНА". М.КИЇВ
300614,ПАТ "КРЕДІ АГРІКОЛЬ БАНК"
300625,КИЇВСЬКА ФІЛІЯ ДОНЕЦ.КБ "ДОНБІРЖБАНК"
300636,ФІЛІЯ РОЗРАХ. ПАЛАТА АКБ "НАЦ. КРЕДИТ"
300647,АБ "КЛІРИНГОВИЙ ДІМ"
300658,АТ "ПІРЕУС БАНК МКБ"
300670,ПАТ "КБ "ХРЕЩАТИК"
300681,ЗАЛІЗНИЧНА ФІЛІЯ АКБ "КИЇВ"
300692,ПОДІЛЬСЬКА ФІЛІЯ КБ "ХРЕЩАТИК"
300700,ФАКБ "НАЦІОНАЛЬНИЙ КРЕДИТ".М.БОРИСПІЛЬ
300711,ПЕЧЕРСЬКА Ф.ПАТ КБ"ПРИВАТБАНК". М.КИЇВ
300722,КИЇВСЬКА ФІЛІЯ ВАТ "СКБ "ДНІСТЕР""
300733,КИЇВСЬКА Ф-Я АКІБ "УКРСИББАНК"
300766,філія АТ "ІМЕКСБАНК" у м. Київі
300777,ПОДІЛЬСЬКА ФІЛІЯ АКБ "МРІЯ"
300807,АКБ "ГАРАНТ" В М.КИЄВІ
300863,ПАТ "КРЕДИТПРОМБАНК"
300926,ПрАТ "УФГ". КИЇВ
300937,Ф"ЦРУ" АТ"Б"ФІНАНСИ ТА КРЕДИТ"М.КИЇВ
300993,ГОЛОВНЕ УПРАВЛІННЯ НБУ
302010,ВІННИЦЬКА ОБЛ. ФІЛІЯ АКБ "УКРСОЦБАНК"
302021,ВІД-НЯ АК АПБ"УКРАЇНА" В М. БАР
302032,ВІД-НЯ АК АПБ"УКРАЇНА" В М. БЕРШАДЬ
302043,ВІДДІЛЕННЯ ПІБ В М. БАР ПІБ ВІННИЦЬКОЇ
302054,ВІДДІЛЕННЯ ПІБ В М. ГНІВАНЬ ВІННИЦЬКОЇ
302065,ВІД-НЯ АК АПБ"УКРАЇНА" В М. ГАЙСИН
302076,ФВІННИЦЬКЕ ОБЛАСНЕ У АТОЩАД М.ВІННИЦЯ
302087,Ф-Я КБ "ВІННИЦЯ". М.МОГИЛІВ-ПОДІЛЬСЬК
302098,ЖМЕРИНКА АПБ ВІННИЦЬКОЇ ОБЛ.
302106,ВІД-НЯ АК АПБ"УКРАЇНА" В СМТ.ІЛЛІНЦІ
302117,ВІД-НЯ АК АПБ"УКРАЇНА" В М.КОЗЯТИН
302128,КАЛИНІВКА АПБ ВІННИЦЬКОЇ ОБЛ.
302139,ВІДДІЛЕННЯ ПІБ В М.КАЛИНІВКА ВІННИЦЬК.
302140,ЗАМОСТЯНСЬКЕ ВІД. ПІБ В М. ВІННИЦЯ
302151,ВІД-НЯ АК АПБ"УКРАЇНА" В СМТ.КРИЖОПІЛЬ
302162,ВІД-НЯ АК АПБ"УКРАЇНА" В СМТ.ЛИПОВЕЦЬ
302173,СМТ.ЛІТИН АПБ ВІННИЦЬКОЇ ОБЛ.
302184,ВІД-НЯ АК АПБ "УКРАЇНА" В М.МОГ.-ПОД.
302195,Ф-Я КИЇВ. АТ "ГРАДОБАНК" М.ВІННИЦЯ
302203,МУР.-КУРИЛОВЕЦЬКЕ  ВІД. АПБ ВІННИЦЬКОЇ
302214,ВІД-НЯ АК АПБ"УКРАЇНА" В М.НЕМИРІВ
302225,Ф-Я КБ "ВІННИЦЯ". М.ЖМЕРИНКА
302236,Ф-Я КБ "ВІННИЦЯ". М.КОЗЯТИН
302247,ВОД АТ"РАЙФФАЙЗЕН БАНК АВАЛЬ"М.ВІННИЦЯ
302258,ПІЩАНСЬКЕ  ВІД. АПБ ВІННИЦЬКОЇ
302269,ВІДДІЛЕННЯ ПРИ ВО "ЖОВТЕНЬ" В М.ВІННИЦ
302270,ВІД-НЯ АК АПБ"УКРАЇНА" В СМТ.ПОГРЕБИЩЕ
302281,ТЕПЛИКСЬКЕ  ВІД. АПБ ВІННИЦЬКОЇ
302292,ВІД-НЯ АК АПБ"УКРАЇНА" В СМТ.ТОМАШПІЛЬ
302300,ВІД-НЯ АК АПБ"УКРАЇНА" В СМТ.ТРОСТЯНЕЦ
302311,ТУЛЬЧИНСЬКЕ  ВІД. АПБ ВІННИЦЬКОЇ
302322,Ф."В.ПІБ В М. ЖМЕРИНКА ВІННИЦЬКОЇ ОБЛ."
302333,ВІННИЦЬКА ФПАТ"УКРІНБАНК" М.ВІННИЦЯ
302344,ВІД-НЯ АК АПБ"УКРАЇНА" В М. ХМІЛЬНИК
302355,ФІЛІЯ АКБ "НАДРА" У М. ВІННИЦІ
302366,СМТ.ЧЕЧЕЛЬНИК АПБ ВІННИЦЬКОЇ ОБЛ.
302377,СМТ.ШАРГОРОД АПБ ВІННИЦЬКОЇ ОБЛ.
302388,ЧЕРНІВЕЦЬКЕ ВІД. АПБ ВІННИЦЬКОЇ
302399,СМТ.ЯМПІЛЬ АПБ ВІННИЦЬКОЇ ОБЛ.
302407,РРЦ ЛІКВІДАТОРА БАНКУ"УКРАЇНА".ВІН.ОБЛ
302418,ВІННИЦЬКА Ф-Я КБ "ДНІСТЕР-БАНК"
302429,Ф-Я АТ УКРЕКСІМБАНК. М.ВІННИЦЯ
302441,ЛІКВІДАТОР БАНКУ"УКРАЇНА"ПО ВІННИЦ.ОБЛ
302452,ВІННИЦЯ.7 ПЕРШОТРАВНЕВЕ НБ
302463,ВІДДІЛЕННЯ АК АПБ"УКРАЇНА" В М.ВІННИЦЯ
302474,СМТ.ТИВРІВ АПБ ВІННИЦЬКОЇ ОБЛ.
302485,ВІД.ПІБ В М.ЛАДИЖИН ВІННИЦЬКОЇ ОБЛ.
302496,СМТ.ОРАТІВ АПБ ВІННИЦЬКОЇ ОБЛ.
302504,УПРАВЛІННЯ НБУ У ВІННИЦЬКІЙ ОБЛАСТІ
302526,ШАРГОРОДСЬКА ФІЛІЯ АППБ "АВАЛЬ"
302559,ФІЛІЯ АКБ "МРІЯ" В М.ВІННИЦЯ
302571,Ф. "ВІДДІЛЕН.ПРОМІНВЕСТБАНКУ.М.ВІННИЦЯ"
302582,ВІДДІЛЕННЯ ПІБ В М.КОЗЯТИН ВІННИЦЬКОЇ
302593,ФАТ "УФГ" У М. ВІННИЦЯ
302601,ВІННИЦЯ ВІД. "УКРАЇНА-КОНВЕРС" АПБ
302612,КОМЕРЦІЙНИЙ БАНК "АГРОПРОГРЕС".ВІННИЦЯ
302623,ФІЛІЯ ПАТ "КРЕДИТПРОМБАНК". М.ВІННИЦЯ
302634,КОМЕРЦІЙНИЙ БАНК "ВІННИЦЯ" М.ВІННИЦЯ
302689,ВІННИЦЬКА Ф.ПАТ КБПРИВАТБАНК.М.ВІННИЦЯ
302731,ФІЛІЯ АБ "ЕНЕРГОБАНК" В М. ВІННИЦІ
302742,ФІЛІЯ АКБ "ПРАВЕКС-БАНК" В М.ВІННИЦІ
302764,ФЕРМЕРСЬКЕ  ВІД. АПБ ВІННИЦЬКОЇ
302894,ФІЛІЯ АКБ"НАЦІОНАЛЬНИЙ КРЕДИТ".КОЗЯТИН
303019,ВОЛИН.ОФ АКБ "УСБ" М.ЛУЦЬК
303020,УПРАВЛІННЯ НБУ У ВОЛИНСЬКІЙ ОБЛАСТІ
303031,ВОЛОДИМИР-ВОЛИНСЬКИЙ АКБ"УКРАЇНА" ВОЛ.
303042,ГОРОХІВ АКБ "УКРАЇНА" ВОЛИНСЬКОЇ
303053,КАМІНЬ-КАШИРСЬКИЙ АКБ"УКРАЇНА" ВОЛИНС.
