name,city
Абхазька,1
Авіаційна,1
Луцького О.,1
Бандрівського,1
Автотранспортна,1
Агрусова,1
Лотоцького,1
Азовська,1
Айвазовського,1
Акаціїва,1
Братуня,1
Алмазна,1
Гординських,1
Алчевської,1
Ангарна,1
Антоненка-Давидовича,1
Антоновича,1
Трещаківського,1
Апост.Данила,1
Аральська,1
Малицької,1
Арсенальська,1
Юнаківа М. генерала,1
Ждахи М.,1
Архипенка,1
Архітекторська,1
Багряного,1
Базальтова,1
Базарна,1
Крехівська,1
Панчишина,1
Бакинська,1
Агабек Заде,1
Балабана,1
Балкова,1
Балтійcька,1
Бальзака,1
Банаха,1
Банківська,1
Барбарисова,1
Барвінок,1
Басараб Ольги,1
Ольжича,1
Батуринська,1
Бачинського,1
Башкирська,1
Баштанна,1
Бережанська,1
Бельзка,1
Бандери С.,1
Бенцаля,1
Лукаша,1
Березова,1
Беринди Памви,1
Берестяна,1
Емінеску,1
Бетховена,1
Бібліотечна,1
Бігова,1
Білиловського,1
Білогорща,1
Білоруська,1
Параджанова,1
Біляшевського,1
Дороша,1
Боберського,1
Бобинського,1
Богданівська,1
Богомольця,1
Богуна,1
Боднарська,1
Бойківська,1
Януша,1
Чучмана,1
Бойчука,1
Болгарська,1
Бориславська,1
Боровиковського,1
Бортнянського,1
Ботанічна,1
Ботїва,1
Боткіна,1
Маївського,1
Бой-Желенського,1
Братня,1
Лодія,1
Броварна,1
Гашека,1
Бруснична,1
Брюллова,1
Брюховицька,1
Родини Крушельницьких,1
Холодного П.,1
Бужанська,1
Бузинова,1
Бузкова,1
Буйка,1
Букова,1
Буковинська,1
Буська,1
Буцманюка,1
Бучми,1
Вагилевича,1
Вагова,1
Вагонна,1
Гірника,1
Варшавська,1
Випасова,1
Васильківського,1
Васильченка,1
Смольського,1
Вахнянина,1
Вашингтона,1
Танячкевича,1
Мишуги,1
Величка,1
Венеціанова,1
Вербова,1
Ржегоржа,1
Вербицького,1
Слободівни М.,1
Вересая,1
Поповича Ї.,1
Барвінських,1
Верхратського,1
Вершницька,1
Весела,1
Весняна,1
Трускавецька,1
Ветеранів,1
Вечірня,1
Щоголева,1
Вигін,1
Виговського,1
Вигода,1
Визвольна,1
Вилітна,1
Винниківська,1
Винниченка,1
Виноградна,1
Сенькевича,1
Висока,1
Високий Замок,1
Височана,1
Вишенського,1
Вишнева,1
Вівсяна,1
Відкрита,1
Лушпинського,1
Хорватська,1
Вільхова,1
Винниця,1
Вірменська,1
Вітвера,1
Вітовського,1
Вітрякова,1
Вітряна,1
Милорадовича,1
Вовка,1
Вовчка,1
Водна,1
Водогінна,1
Соборна пл.,1
Возняка,1
Чернівецька,1
Двірцева,1
Волинська,1
Вол.Великого,1
Волоська,1
Волошина,1
Волошкова,1
Волощака,1
Воля,1
Воробкевича,1
Вороного,1
Кузневича,1
Врізана,1
Втіха,1
На Викопах,1
Вугільна,1
Вузька,1
Вулецька,1
Гаврилівка,1
Газова,1
Гайворонського,1
Гайдамацька,1
Гайова,1
Галечко Софії,1
Галицька,1
Галілея,1
Демнянська,1
Гамалії,1
Гвардійська,1
Геологічна,1
Герцена,1
Гіацинтова,1
Жасминова,1
Гіпсова,1
Глiнки  М.,1
Глибока,1
Глиняна,1
Глинянський Тракт,1
Глібова,1
Гнатюка,1
Гоголя,1
Голинського,1
Головатого,1
Голубина,1
Голубовича,1
Голубця,1
Гонти,1
Горбкова,1
Гора іванова,1
Горіхова,1
Горобинна,1
Городницька,1
Городоцька,1
Господарська,1
Гостинна,1
Грабова,1
Грабовського,1
Граб'янки,1
Бахматюка,1
Гранична,1
Гранітна,1
Гребінки,1
Грекова,1
Грецька,1
Гречана,1
Грибова,1
Григоровича,1
Грицая,1
Грінченка,1
Назарука О.,1
Котка,1
Олешківська,1
Груднева,1
Грузинська,1
Грунтова,1
Грушева,1
Грюнвальдська,1
Грядкова,1
Гулака-Артемовського,1
Гуні Дмитра,1
Лукича,1
Гуцульська,1
Дагестанська,1
Дальня,1
Просвіти,1
Дворова,1
Жовківська,1
Декарта,1
Детька,1
Джерельна,1
Дивізійна,1
Діаманда,1
Дібровна,1
Ділянкова,1
Дика,1
Дніпровська,1
Дністерська,1
Саковича К.,1
Стецька Я.,1
Довбуша,1
Довга,1
Довженка,1
Дозвільна,1
Долинського,1
Долішня,1
Маланюка Ї.пл.,1
Пимоненка М.,1
Донецька,1
Донцова,1
Доробок,1
Дорошенка,1
Досвітня,1
Доступна,1
Драгоманова,1
Драй Хмари,1
Дріжджова,1
Дрогобицька,1
Героїв Крут,1
Ганкевича,1
Купчинського,1
Друкарська,1
Гайдучка,1
Дубнівська,1
Дубініна,1
Дублянська,1
Дубова,1
Дунайська,1
Духновича,1
Бринського,1
Енергетична,1
Геца,1
Естонська,1
Братiв Климових,1
Їрошенка,1
Їсеніна,1
Їфремова,1
Жижки Яна,1
Житня,1
Житомирська,1
Жнивна,1
Жуковського,1
Журавлина,1
Заболотівська,1
Заводська,1
Загірна,1
Загородна,1
Залізнична,1
Залізняка,1
Залісна,1
Заміська,1
Замкнена,1
Замкова,1
Замарстинівська,1
Заньковецької,1
Заозерна,1
Заозерний пр.1й,1
Запашна,1
Запорізька,1
Зарицьких,1
Радехівська,1
Затишна,1
Петрицького А.,1
Захаріївича,1
Збаразька,1
Збиральна,1
Флінти З.,1
Зборівська,1
Звенигородська,1
Зв'язкова,1
Здоров'я,1
Зелена,1
Земельна,1
Зернова,1
Зерова,1
Зигзаг,1
Зимова,1
Зимова верхня,1
Зимова нижня,1
Чугайстра,1
Золочівська,1
Золота,1
Зоряна,1
Зрубова,1
Зубрівська,1
Зустрічна,1
івасюка,1
Ліщинова,1
ігорева,1
ільмова,1
інструментальна,1
ірчана,1
Вернадського,1
Кавалерідзе,1
Кавказька,1
Каганця,1
Казахська,1
Каменярів,1
Красівська,1
Кам'янецька,1
Канівська,1
Каліча Гора,1
Калнишевського,1
Караджича,1
Караїмська,1
Карбишева,1
Кармалюка,1
Карманського,1
Карпатська,1
Карпінського,1
Катедральна пл.,1
Каховська,1
Гарматія,1
Паращука,1
Каштанова,1
Кв.Основ'яненка,1
Квітнева,1
Квітова,1
Керамічна,1
Керченська,1
Кибальчича,1
Київська,1
Клепарiв,1
Колодзінського,1
Китайська,1
Кишинівська,1
Кінцева,1
Кленова,1
Клепарівська,1
Кушевича,1
Княгині Ольги,1
Князя Романа,1
Кльоновича,1
Кобзарська,1
Кобилянської,1
Кобринської,1
Ковалевської,1
Ковельська,1
Козацька,1
Козельницька,1
Козика,1
Козланюка,1
Кокорудзи,1
Сушка,1
Колесси,1
Коліївщини пл.,1
Колійна,1
Колісна,1
Медведецького,1
Колодійська,1
Колодязна,1
Колоскова,1
Колумба,1
Кольберга,1
Сороки,1
Комарова,1
Дідушка,1
Дашкевича,1
Кондратюка,1
Кондукторська,1
Кониського,1
Коновальця,1
Конопницької,1
Конотопська,1
Конюшинна,1
Кооперативна,1
Копальна,1
